,K,size,num_subs,inertia,silhouette
0,2.0,0.0,26288.0,86607.3733630642,0.10717939685441522
1,2.0,1.0,21607.0,69800.90274087942,0.10521575233430733
2,2.0,2.0,16858.0,53225.82125010828,0.10433649097436982
3,2.0,3.0,13513.0,42330.69222622788,0.13963021942331716
4,2.0,4.0,10398.0,32091.375325799963,0.14117308704135417
5,2.0,5.0,8278.0,25256.819369307115,0.14157968866631934
6,2.0,6.0,6499.0,19506.186254304048,0.1437816814587184
7,2.0,7.0,5243.0,15653.541524969036,0.1428464590678766
8,2.0,8.0,4216.0,12468.371641822872,0.1414811173531311
9,2.0,9.0,3513.0,10297.817695222946,0.14315995062843462
10,2.0,10.0,2908.0,8470.416732832591,0.1421646585700742
11,3.0,0.0,26288.0,80466.60171456754,0.10619367903164592
12,3.0,1.0,21607.0,64221.88848390305,0.10423620723710993
13,3.0,2.0,16858.0,48879.0369128972,0.10283427846509115
14,3.0,3.0,13513.0,38714.97772855654,0.10209864333651408
15,3.0,4.0,10398.0,29346.47451000439,0.10303415679508185
16,3.0,5.0,8278.0,23161.071255322462,0.10986117991182173
17,3.0,6.0,6499.0,17845.43846659261,0.11198535176440895
18,3.0,7.0,5243.0,14327.864266199907,0.11109655512088969
19,3.0,8.0,4216.0,11401.456449978128,0.11245368637188427
20,3.0,9.0,3513.0,9436.330687938294,0.11180184834528961
21,3.0,10.0,2908.0,7768.813110973935,0.11160474805491216
22,4.0,0.0,26288.0,76336.20468066192,0.08632895443156731
23,4.0,1.0,21607.0,61032.60470270299,0.08634545307849832
24,4.0,2.0,16858.0,46426.048077981446,0.08338827477826502
25,4.0,3.0,13513.0,36745.49209599196,0.08341898101318324
26,4.0,4.0,10398.0,27808.986281364447,0.08498959677599781
27,4.0,5.0,8278.0,21918.790081750256,0.08494948074470988
28,4.0,6.0,6499.0,16890.22416559625,0.08661219072777747
29,4.0,7.0,5243.0,13565.346800787744,0.08887798220641577
30,4.0,8.0,4216.0,10781.63258925423,0.08742850742447106
31,4.0,9.0,3513.0,8923.857733311354,0.08831357211442407
32,4.0,10.0,2908.0,7352.929447752241,0.09320625915883456
33,5.0,0.0,26288.0,73892.42128718841,0.07199041489228633
34,5.0,1.0,21607.0,59018.93899026281,0.08954701440516938
35,5.0,2.0,16858.0,44866.20584953207,0.090987711829562
36,5.0,3.0,13513.0,35446.86878845059,0.09116961795005335
37,5.0,4.0,10398.0,26872.94252359061,0.08663269543625732
38,5.0,5.0,8278.0,21140.22948243814,0.09316468012636757
39,5.0,6.0,6499.0,16317.468667794676,0.097268972855091
40,5.0,7.0,5243.0,13062.334618333405,0.09590673007408623
41,5.0,8.0,4216.0,10397.310266572129,0.09644940968613538
42,5.0,9.0,3513.0,8603.667060037616,0.09235527153036999
43,5.0,10.0,2908.0,7064.025943774897,0.09904606978513802
44,6.0,0.0,26288.0,71936.68012957071,0.08837627491510777
45,6.0,1.0,21607.0,57041.35245685192,0.08162066177908027
46,6.0,2.0,16858.0,43343.728255339054,0.08242484947392507
47,6.0,3.0,13513.0,34322.82523388585,0.07890999130158581
48,6.0,4.0,10398.0,26139.892895814464,0.08576731373030022
49,6.0,5.0,8278.0,20587.71614451526,0.08639119093141102
50,6.0,6.0,6499.0,15767.715113115235,0.08589580849628173
51,6.0,7.0,5243.0,12674.431400903233,0.08730249937565837
52,6.0,8.0,4216.0,10052.984430622653,0.08561179857579115
53,6.0,9.0,3513.0,8324.005713801576,0.08561102907290252
54,6.0,10.0,2908.0,6839.521662476786,0.08649517956300426
