,K,size,num_subs,inertia,silhouette
0,2.0,0.0,26288.0,6403629.158446433,0.5133926725527175
1,2.0,1.0,21607.0,4332760.777158963,0.5422018647664406
2,2.0,2.0,16858.0,2531499.038794287,0.4704182772294924
3,2.0,3.0,13513.0,1798960.5588459233,0.4549020937905418
4,2.0,4.0,10398.0,1205498.2590454407,0.4137986995109801
5,2.0,5.0,8278.0,886253.5806010265,0.4052902152971424
6,2.0,6.0,6499.0,619895.966691824,0.3873865422423793
7,2.0,7.0,5243.0,460592.1594694464,0.35936430990376267
8,2.0,8.0,4216.0,345818.9468050958,0.3571566603566784
9,2.0,9.0,3513.0,274634.85364231816,0.34890926246468407
10,2.0,10.0,2908.0,215054.98721952492,0.34228149690477305
11,3.0,0.0,26288.0,5677692.8245603815,0.13187952483005963
12,3.0,1.0,21607.0,3838886.646278224,0.1475681220589101
13,3.0,2.0,16858.0,2229592.0114994505,0.1458567449932979
14,3.0,3.0,13513.0,1585948.9597318978,0.14765408979976555
15,3.0,4.0,10398.0,1061618.0883162082,0.14659513411767267
16,3.0,5.0,8278.0,780892.8990450224,0.147267841049104
17,3.0,6.0,6499.0,545587.5976877256,0.14624652804018876
18,3.0,7.0,5243.0,404075.2202916,0.1482377037075115
19,3.0,8.0,4216.0,301763.7726016507,0.15095812396883684
20,3.0,9.0,3513.0,240885.71706824165,0.14979823310395501
21,3.0,10.0,2908.0,188677.06537916142,0.1509925195334515
22,4.0,0.0,26288.0,5311571.763899744,0.1314143730842556
23,4.0,1.0,21607.0,3509542.829584686,0.1344117444528641
24,4.0,2.0,16858.0,2060924.8939383992,0.13650913516115817
25,4.0,3.0,13513.0,1463659.062290056,0.13613960284309126
26,4.0,4.0,10398.0,985554.6883217915,0.13469160535735072
27,4.0,5.0,8278.0,725940.5300867832,0.13644468626317438
28,4.0,6.0,6499.0,509133.37813206145,0.1369252633899733
29,4.0,7.0,5243.0,378889.0467807748,0.1363996269973726
30,4.0,8.0,4216.0,281650.68998075125,0.13914066621420226
31,4.0,9.0,3513.0,224813.98070292972,0.14208357687227624
32,4.0,10.0,2908.0,176304.71207513992,0.13544707175955734
33,5.0,0.0,26288.0,5026615.831522268,0.1408212797348401
34,5.0,1.0,21607.0,3287711.326383138,0.14122944776459428
35,5.0,2.0,16858.0,1947879.2349318482,0.13637330789907737
36,5.0,3.0,13513.0,1382582.780923681,0.13889483682030743
37,5.0,4.0,10398.0,932222.5245067321,0.1364116629807742
38,5.0,5.0,8278.0,687515.8895841099,0.1345911789630268
39,5.0,6.0,6499.0,483057.63331796095,0.13412823050012307
40,5.0,7.0,5243.0,359269.2072317664,0.13061999850805223
41,5.0,8.0,4216.0,267430.5736555075,0.11197676818759902
42,5.0,9.0,3513.0,213098.70355056133,0.10510862714890985
43,5.0,10.0,2908.0,166678.69252668007,0.11557319235626325
44,6.0,0.0,26288.0,4791117.657284939,0.13217472272480849
45,6.0,1.0,21607.0,3134073.1523638265,0.10915216125168223
46,6.0,2.0,16858.0,1863196.0094893395,0.09910093411104465
47,6.0,3.0,13513.0,1322568.7485925627,0.09775239362217596
48,6.0,4.0,10398.0,890516.2866715488,0.10529301562740728
49,6.0,5.0,8278.0,656219.5329595349,0.10659727294358802
50,6.0,6.0,6499.0,460058.9084516806,0.1113877853838006
51,6.0,7.0,5243.0,341724.31849018583,0.1047360312404057
52,6.0,8.0,4216.0,253539.82877173016,0.10870387241902682
53,6.0,9.0,3513.0,202687.15537702575,0.10653967337182965
54,6.0,10.0,2908.0,158230.65459298968,0.1134272770195522
